category,year,total_deaths
Acute Hepatitis,1990,166343
Acute Hepatitis,1991,165276
Acute Hepatitis,1992,163687
Acute Hepatitis,1993,161899
Acute Hepatitis,1994,159423
Acute Hepatitis,1995,157173
Acute Hepatitis,1996,153406
Acute Hepatitis,1997,151902
Acute Hepatitis,1998,149563
Acute Hepatitis,1999,147017
Acute Hepatitis,2000,144124
Acute Hepatitis,2001,140143
Acute Hepatitis,2002,134941
Acute Hepatitis,2003,130158
Acute Hepatitis,2004,127953
Acute Hepatitis,2005,128197
Acute Hepatitis,2006,124737
Acute Hepatitis,2007,120512
Acute Hepatitis,2008,117273
Acute Hepatitis,2009,112643
Acute Hepatitis,2010,109556
Acute Hepatitis,2011,106549
Acute Hepatitis,2012,104589
Acute Hepatitis,2013,98898
Acute Hepatitis,2014,92845
Acute Hepatitis,2015,88750
Acute Hepatitis,2016,84726
Acute Hepatitis,2017,82472
Acute Hepatitis,2018,80894
Acute Hepatitis,2019,79142
Alcohol Use Disorders,1990,116390
Alcohol Use Disorders,1991,122478
Alcohol Use Disorders,1992,131665
Alcohol Use Disorders,1993,143901
Alcohol Use Disorders,1994,153859
Alcohol Use Disorders,1995,156714
Alcohol Use Disorders,1996,156352
Alcohol Use Disorders,1997,155429
Alcohol Use Disorders,1998,156282
Alcohol Use Disorders,1999,160606
Alcohol Use Disorders,2000,166094
Alcohol Use Disorders,2001,170787
Alcohol Use Disorders,2002,175317
Alcohol Use Disorders,2003,178889
Alcohol Use Disorders,2004,180491
Alcohol Use Disorders,2005,181704
Alcohol Use Disorders,2006,177747
Alcohol Use Disorders,2007,174006
Alcohol Use Disorders,2008,171613
Alcohol Use Disorders,2009,166736
Alcohol Use Disorders,2010,164313
Alcohol Use Disorders,2011,161372
Alcohol Use Disorders,2012,159381
Alcohol Use Disorders,2013,158848
Alcohol Use Disorders,2014,159291
Alcohol Use Disorders,2015,160713
Alcohol Use Disorders,2016,162047
Alcohol Use Disorders,2017,162599
Alcohol Use Disorders,2018,165462
Alcohol Use Disorders,2019,167932
Alzheimer's Disease and Other Dementias,1990,560616
Alzheimer's Disease and Other Dementias,1991,583166
Alzheimer's Disease and Other Dementias,1992,605894
Alzheimer's Disease and Other Dementias,1993,629571
Alzheimer's Disease and Other Dementias,1994,652176
Alzheimer's Disease and Other Dementias,1995,674815
Alzheimer's Disease and Other Dementias,1996,696665
Alzheimer's Disease and Other Dementias,1997,717342
Alzheimer's Disease and Other Dementias,1998,738768
Alzheimer's Disease and Other Dementias,1999,761620
Alzheimer's Disease and Other Dementias,2000,786615
Alzheimer's Disease and Other Dementias,2001,814526
Alzheimer's Disease and Other Dementias,2002,845695
Alzheimer's Disease and Other Dementias,2003,877011
Alzheimer's Disease and Other Dementias,2004,909148
Alzheimer's Disease and Other Dementias,2005,945619
Alzheimer's Disease and Other Dementias,2006,982308
Alzheimer's Disease and Other Dementias,2007,1022057
Alzheimer's Disease and Other Dementias,2008,1065297
Alzheimer's Disease and Other Dementias,2009,1109405
Alzheimer's Disease and Other Dementias,2010,1155944
Alzheimer's Disease and Other Dementias,2011,1201138
Alzheimer's Disease and Other Dementias,2012,1247515
Alzheimer's Disease and Other Dementias,2013,1294701
Alzheimer's Disease and Other Dementias,2014,1343756
Alzheimer's Disease and Other Dementias,2015,1394942
Alzheimer's Disease and Other Dementias,2016,1451840
Alzheimer's Disease and Other Dementias,2017,1509646
Alzheimer's Disease and Other Dementias,2018,1568617
Alzheimer's Disease and Other Dementias,2019,1622426
Cardiovascular Diseases,1990,12062179
Cardiovascular Diseases,1991,12220282
Cardiovascular Diseases,1992,12437979
Cardiovascular Diseases,1993,12802108
Cardiovascular Diseases,1994,13026289
Cardiovascular Diseases,1995,13129252
Cardiovascular Diseases,1996,13213565
Cardiovascular Diseases,1997,13339902
Cardiovascular Diseases,1998,13461489
Cardiovascular Diseases,1999,13720763
Cardiovascular Diseases,2000,13957078
Cardiovascular Diseases,2001,14185571
Cardiovascular Diseases,2002,14501696
Cardiovascular Diseases,2003,14710723
Cardiovascular Diseases,2004,14745985
Cardiovascular Diseases,2005,14995528
Cardiovascular Diseases,2006,14991661
Cardiovascular Diseases,2007,15117363
Cardiovascular Diseases,2008,15402070
Cardiovascular Diseases,2009,15552545
Cardiovascular Diseases,2010,15838151
Cardiovascular Diseases,2011,16038263
Cardiovascular Diseases,2012,16245243
Cardiovascular Diseases,2013,16490053
Cardiovascular Diseases,2014,16715810
Cardiovascular Diseases,2015,17089707
Cardiovascular Diseases,2016,17398709
Cardiovascular Diseases,2017,17685890
Cardiovascular Diseases,2018,18113910
Cardiovascular Diseases,2019,18552218
Chronic Kidney Disease,1990,600925
Chronic Kidney Disease,1991,613589
Chronic Kidney Disease,1992,630160
Chronic Kidney Disease,1993,647255
Chronic Kidney Disease,1994,665365
Chronic Kidney Disease,1995,683701
Chronic Kidney Disease,1996,704624
Chronic Kidney Disease,1997,731048
Chronic Kidney Disease,1998,758681
Chronic Kidney Disease,1999,785380
Chronic Kidney Disease,2000,814854
Chronic Kidney Disease,2001,842790
Chronic Kidney Disease,2002,874109
Chronic Kidney Disease,2003,902200
Chronic Kidney Disease,2004,922921
Chronic Kidney Disease,2005,956457
Chronic Kidney Disease,2006,981743
Chronic Kidney Disease,2007,1010311
Chronic Kidney Disease,2008,1045743
Chronic Kidney Disease,2009,1074048
Chronic Kidney Disease,2010,1107473
Chronic Kidney Disease,2011,1143219
Chronic Kidney Disease,2012,1176295
Chronic Kidney Disease,2013,1214187
Chronic Kidney Disease,2014,1247378
Chronic Kidney Disease,2015,1286935
Chronic Kidney Disease,2016,1325004
Chronic Kidney Disease,2017,1351349
Chronic Kidney Disease,2018,1387668
Chronic Kidney Disease,2019,1426280
Chronic Respiratory Diseases,1990,3092759
Chronic Respiratory Diseases,1991,3148288
Chronic Respiratory Diseases,1992,3207816
Chronic Respiratory Diseases,1993,3266612
Chronic Respiratory Diseases,1994,3297292
Chronic Respiratory Diseases,1995,3313295
Chronic Respiratory Diseases,1996,3342591
Chronic Respiratory Diseases,1997,3381872
Chronic Respiratory Diseases,1998,3401426
Chronic Respiratory Diseases,1999,3419612
Chronic Respiratory Diseases,2000,3450006
Chronic Respiratory Diseases,2001,3465831
Chronic Respiratory Diseases,2002,3490310
Chronic Respiratory Diseases,2003,3491643
Chronic Respiratory Diseases,2004,3462850
Chronic Respiratory Diseases,2005,3479174
Chronic Respiratory Diseases,2006,3461443
Chronic Respiratory Diseases,2007,3467408
Chronic Respiratory Diseases,2008,3510195
Chronic Respiratory Diseases,2009,3498126
Chronic Respiratory Diseases,2010,3509920
Chronic Respiratory Diseases,2011,3539167
Chronic Respiratory Diseases,2012,3558276
Chronic Respiratory Diseases,2013,3610804
Chronic Respiratory Diseases,2014,3651653
Chronic Respiratory Diseases,2015,3690907
Chronic Respiratory Diseases,2016,3740794
Chronic Respiratory Diseases,2017,3795946
Chronic Respiratory Diseases,2018,3886637
Chronic Respiratory Diseases,2019,3972681
Cirrhosis and Other Chronic Liver Diseases,1990,1012423
Cirrhosis and Other Chronic Liver Diseases,1991,1026870
Cirrhosis and Other Chronic Liver Diseases,1992,1042953
Cirrhosis and Other Chronic Liver Diseases,1993,1067730
Cirrhosis and Other Chronic Liver Diseases,1994,1089331
Cirrhosis and Other Chronic Liver Diseases,1995,1104380
Cirrhosis and Other Chronic Liver Diseases,1996,1115241
Cirrhosis and Other Chronic Liver Diseases,1997,1128962
Cirrhosis and Other Chronic Liver Diseases,1998,1141509
Cirrhosis and Other Chronic Liver Diseases,1999,1158552
Cirrhosis and Other Chronic Liver Diseases,2000,1177628
Cirrhosis and Other Chronic Liver Diseases,2001,1200250
Cirrhosis and Other Chronic Liver Diseases,2002,1227607
Cirrhosis and Other Chronic Liver Diseases,2003,1251776
Cirrhosis and Other Chronic Liver Diseases,2004,1266574
Cirrhosis and Other Chronic Liver Diseases,2005,1293978
Cirrhosis and Other Chronic Liver Diseases,2006,1300281
Cirrhosis and Other Chronic Liver Diseases,2007,1311974
Cirrhosis and Other Chronic Liver Diseases,2008,1330568
Cirrhosis and Other Chronic Liver Diseases,2009,1330408
Cirrhosis and Other Chronic Liver Diseases,2010,1340704
Cirrhosis and Other Chronic Liver Diseases,2011,1348880
Cirrhosis and Other Chronic Liver Diseases,2012,1354358
Cirrhosis and Other Chronic Liver Diseases,2013,1359145
Cirrhosis and Other Chronic Liver Diseases,2014,1363403
Cirrhosis and Other Chronic Liver Diseases,2015,1384947
Cirrhosis and Other Chronic Liver Diseases,2016,1404134
Cirrhosis and Other Chronic Liver Diseases,2017,1425956
Cirrhosis and Other Chronic Liver Diseases,2018,1447651
Cirrhosis and Other Chronic Liver Diseases,2019,1471148
Conflict and Terrorism,1990,116286
Conflict and Terrorism,1991,85017
Conflict and Terrorism,1992,62063
Conflict and Terrorism,1993,62733
Conflict and Terrorism,1994,566082
Conflict and Terrorism,1995,67210
Conflict and Terrorism,1996,87324
Conflict and Terrorism,1997,99263
Conflict and Terrorism,1998,108842
Conflict and Terrorism,1999,141860
Conflict and Terrorism,2000,120011
Conflict and Terrorism,2001,67069
Conflict and Terrorism,2002,66414
Conflict and Terrorism,2003,71044
Conflict and Terrorism,2004,70502
Conflict and Terrorism,2005,59507
Conflict and Terrorism,2006,74555
Conflict and Terrorism,2007,71286
Conflict and Terrorism,2008,64695
Conflict and Terrorism,2009,71582
Conflict and Terrorism,2010,54467
Conflict and Terrorism,2011,62900
Conflict and Terrorism,2012,112295
Conflict and Terrorism,2013,117364
Conflict and Terrorism,2014,187939
Conflict and Terrorism,2015,167030
Conflict and Terrorism,2016,161637
Conflict and Terrorism,2017,130737
Conflict and Terrorism,2018,103407
Conflict and Terrorism,2019,62932
Diabetes Mellitus,1990,661085
Diabetes Mellitus,1991,679630
Diabetes Mellitus,1992,702253
Diabetes Mellitus,1993,728077
Diabetes Mellitus,1994,751254
Diabetes Mellitus,1995,773490
Diabetes Mellitus,1996,799023
Diabetes Mellitus,1997,827734
Diabetes Mellitus,1998,854415
Diabetes Mellitus,1999,879521
Diabetes Mellitus,2000,905965
Diabetes Mellitus,2001,934841
Diabetes Mellitus,2002,970544
Diabetes Mellitus,2003,1000276
Diabetes Mellitus,2004,1018138
Diabetes Mellitus,2005,1050925
Diabetes Mellitus,2006,1071057
Diabetes Mellitus,2007,1092777
Diabetes Mellitus,2008,1122287
Diabetes Mellitus,2009,1142391
Diabetes Mellitus,2010,1165663
Diabetes Mellitus,2011,1197995
Diabetes Mellitus,2012,1236606
Diabetes Mellitus,2013,1277414
Diabetes Mellitus,2014,1320608
Diabetes Mellitus,2015,1366100
Diabetes Mellitus,2016,1412896
Diabetes Mellitus,2017,1454681
Diabetes Mellitus,2018,1501633
Diabetes Mellitus,2019,1549593
Diarrheal Diseases,1990,2894957
Diarrheal Diseases,1991,2903085
Diarrheal Diseases,1992,2871809
Diarrheal Diseases,1993,2798615
Diarrheal Diseases,1994,2740299
Diarrheal Diseases,1995,2673263
Diarrheal Diseases,1996,2615313
Diarrheal Diseases,1997,2579027
Diarrheal Diseases,1998,2544585
Diarrheal Diseases,1999,2496957
Diarrheal Diseases,2000,2440570
Diarrheal Diseases,2001,2378465
Diarrheal Diseases,2002,2312641
Diarrheal Diseases,2003,2242961
Diarrheal Diseases,2004,2166496
Diarrheal Diseases,2005,2125961
Diarrheal Diseases,2006,2109339
Diarrheal Diseases,2007,2076357
Diarrheal Diseases,2008,2044769
Diarrheal Diseases,2009,1977248
Diarrheal Diseases,2010,1928704
Diarrheal Diseases,2011,1902762
Diarrheal Diseases,2012,1834769
Diarrheal Diseases,2013,1788081
Diarrheal Diseases,2014,1725693
Diarrheal Diseases,2015,1679043
Diarrheal Diseases,2016,1639826
Diarrheal Diseases,2017,1632183
Diarrheal Diseases,2018,1577953
Diarrheal Diseases,2019,1533777
Digestive Diseases,1990,1854392
Digestive Diseases,1991,1877515
Digestive Diseases,1992,1903759
Digestive Diseases,1993,1939556
Digestive Diseases,1994,1967669
Digestive Diseases,1995,1984263
Digestive Diseases,1996,1995513
Digestive Diseases,1997,2014659
Digestive Diseases,1998,2030600
Digestive Diseases,1999,2054201
Digestive Diseases,2000,2079551
Digestive Diseases,2001,2107791
Digestive Diseases,2002,2143976
Digestive Diseases,2003,2173729
Digestive Diseases,2004,2187927
Digestive Diseases,2005,2226154
Digestive Diseases,2006,2235326
Digestive Diseases,2007,2251390
Digestive Diseases,2008,2280070
Digestive Diseases,2009,2279806
Digestive Diseases,2010,2298319
Digestive Diseases,2011,2316484
Digestive Diseases,2012,2329472
Digestive Diseases,2013,2348963
Digestive Diseases,2014,2364063
Digestive Diseases,2015,2404387
Digestive Diseases,2016,2439649
Digestive Diseases,2017,2478029
Digestive Diseases,2018,2515213
Digestive Diseases,2019,2556209
Drowning,1990,460460
Drowning,1991,454375
Drowning,1992,447056
Drowning,1993,445434
Drowning,1994,443350
Drowning,1995,437303
Drowning,1996,423296
Drowning,1997,413405
Drowning,1998,407205
Drowning,1999,397169
Drowning,2000,387627
Drowning,2001,375917
Drowning,2002,361967
Drowning,2003,347745
Drowning,2004,338417
Drowning,2005,332705
Drowning,2006,319875
Drowning,2007,311889
Drowning,2008,304870
Drowning,2009,296871
Drowning,2010,290831
Drowning,2011,281106
Drowning,2012,275585
Drowning,2013,266827
Drowning,2014,258489
Drowning,2015,254237
Drowning,2016,248811
Drowning,2017,241842
Drowning,2018,240266
Drowning,2019,237069
Drug Use Disorders,1990,56133
Drug Use Disorders,1991,61890
Drug Use Disorders,1992,66826
Drug Use Disorders,1993,71603
Drug Use Disorders,1994,76717
Drug Use Disorders,1995,79985
Drug Use Disorders,1996,81704
Drug Use Disorders,1997,82572
Drug Use Disorders,1998,85087
Drug Use Disorders,1999,87336
Drug Use Disorders,2000,89690
Drug Use Disorders,2001,87325
Drug Use Disorders,2002,84750
Drug Use Disorders,2003,82250
Drug Use Disorders,2004,81843
Drug Use Disorders,2005,84990
Drug Use Disorders,2006,85421
Drug Use Disorders,2007,85962
Drug Use Disorders,2008,87077
Drug Use Disorders,2009,87025
Drug Use Disorders,2010,88079
Drug Use Disorders,2011,89322
Drug Use Disorders,2012,90934
Drug Use Disorders,2013,94562
Drug Use Disorders,2014,99295
Drug Use Disorders,2015,105401
Drug Use Disorders,2016,112875
Drug Use Disorders,2017,118324
Drug Use Disorders,2018,123095
Drug Use Disorders,2019,128048
Environmental Heat and Cold Exposure,1990,55072
Environmental Heat and Cold Exposure,1991,56658
Environmental Heat and Cold Exposure,1992,59926
Environmental Heat and Cold Exposure,1993,66812
Environmental Heat and Cold Exposure,1994,72305
Environmental Heat and Cold Exposure,1995,72635
Environmental Heat and Cold Exposure,1996,67602
Environmental Heat and Cold Exposure,1997,63823
Environmental Heat and Cold Exposure,1998,64858
Environmental Heat and Cold Exposure,1999,63375
Environmental Heat and Cold Exposure,2000,65450
Environmental Heat and Cold Exposure,2001,66743
Environmental Heat and Cold Exposure,2002,69939
Environmental Heat and Cold Exposure,2003,71950
Environmental Heat and Cold Exposure,2004,67144
Environmental Heat and Cold Exposure,2005,68382
Environmental Heat and Cold Exposure,2006,64630
Environmental Heat and Cold Exposure,2007,59791
Environmental Heat and Cold Exposure,2008,57763
Environmental Heat and Cold Exposure,2009,54835
Environmental Heat and Cold Exposure,2010,58674
Environmental Heat and Cold Exposure,2011,51638
Environmental Heat and Cold Exposure,2012,51418
Environmental Heat and Cold Exposure,2013,49503
Environmental Heat and Cold Exposure,2014,48775
Environmental Heat and Cold Exposure,2015,51665
Environmental Heat and Cold Exposure,2016,47495
Environmental Heat and Cold Exposure,2017,46276
Environmental Heat and Cold Exposure,2018,46272
Environmental Heat and Cold Exposure,2019,47442
Exposure to Forces of Nature,1990,50216
